division_name,district_name,depot_code,length_to2,veh_total,veh_truck,avg_iri,length_ac,lanemin_ac,lanemax_ac,laneavg_ac,pavewidthavg_ac,shoulderwidthavg_ac,length_cc,lanemin_cc,lanemax_cc,laneavg_cc,pavewidthavg_cc,shoulderwidthavg_cc,bicyclelane_sqm,rest_area_sqm,sidewalk_sqm,retainingwall_sqm,roadmarking_sqm,road_medians_m,elevation_mean,elevation_var,slope_mean,slope_var,ค่าบำรุงตามระยะทางต่อ 2 ช่องจราจร,ค่าบำรุงทรัพย์สิน,จำนวนจุดกางเต็นท์,ค่าบำรุงจุดกางเต็นท์,จำนวนจุดพักรถ,ค่าบำรุงจุดพักรถ,จำนวนภูมิสถาปัตย์,ค่าบำรุงภูมิสถาปัตย์,พื้นที่ฝนชุก,sum_งบแผน68,bridge_m
สำนักงานทางหลวงที่ 9 (อุบลราชธานี),ขท.อุบลราชธานีที่ 1,631,681.585,2837929012,182203618,2.5269333333333335,485.98199999999997,1,8,3.2666666666666666,3.5,5.0,27.712,2.0,8.0,4.875,3.5,5.125,0.0,10201.0,128266.6,2034.9,109588.20400000001,90798.188,117.93882513258733,44.3641501292877,-0.014132145275342572,13.239974166133312,40895100.0,2895600,0,0,1,300000,1,300000,0,30781563.02,7419.0
สำนักงานทางหลวงที่ 9 (อุบลราชธานี),ขท.อุบลราชธานีที่ 2,632,678.737,3455141203,264584953,2.7022727272727276,332.121,1,8,2.8181818181818183,4.355,6.25,3.697,4.0,8.0,5.0,3.5,5.0,0.0,0.0,63853.649999999994,1675.0,135061.19,106902.356,146.99492059378974,171.21254993214887,0.0740219655886616,12.522181304120181,40724220.0,3154900,0,0,0,0,0,0,0,31476285.13,6151.5
สำนักงานทางหลวงที่ 8 (มหาสารคาม),ขท.ยโสธร,633,714.724,1348553253,593188455,2.222153846153846,461.725,1,6,4.076923076923077,3.5,6.438,30.096,4.0,6.0,4.166666666666667,3.5,5.0,0.0,0.0,104737.88,17851.64,166736.432,107847.5,138.49809968308273,380.0985830973314,0.04998852359744736,10.035435674877847,42883440.0,3813800,2,600000,1,300000,0,0,0,16316511.0,5807.8
สำนักงานทางหลวงที่ 9 (อุบลราชธานี),ขท.อำนาจเจริญ,634,762.275,3125199114,276691963,2.2855,353.638,2,8,3.75,3.569,5.0,28.877,4.0,8.0,4.75,3.425,5.0,0.0,0.0,114583.45999999999,5769.4,168562.20800000004,11759.722,148.85014991442495,80.75377740683334,0.08232791499951427,9.566576685703165,45736500.0,3904900,0,0,3,900000,1,300000,0,16720167.5,6656.7
สำนักงานทางหลวงที่ 8 (มหาสารคาม),ขท.ร้อยเอ็ด,635,883.61,6560568215,582593190,2.114,399.904,1,8,4.25,3.508,5.021,13.931999999999999,4.0,6.0,4.5,3.497666666666667,4.485666666666667,0.0,0.0,84506.319,53034.8,160415.84199999998,143936.0,147.5148116121384,35.455692832782574,0.02080237155975878,5.910141576422254,53016600.0,4067400,0,0,0,0,0,0,0,40211709.0,3988.9
สำนักงานทางหลวงที่ 9 (อุบลราชธานี),ขท.ศรีสะเกษที่ 2,636,681.383,1530592817,59132123,2.309333333333333,79.168,2,4,2.6666666666666665,3.5,5.0,31.804,4.0,4.0,4.0,3.5,5.0,0.0,0.0,95127.95999999999,21599.5,196992.454,52262.0,172.940532079818,2011.445632470017,0.2587551368003713,17.940072949623797,40882980.0,2457000,2,600000,2,600000,2,600000,0,16859979.28,2534.5
สำนักงานทางหลวงที่ 9 (อุบลราชธานี),ขท.ศรีสะเกษที่ 1,638,762.713,3090196677,381443214,2.35625,637.535,1,10,3.0,3.5,5.0,11.427,2.0,7.0,4.0,3.5,4.0,0.0,0.0,150483.56,6850.8,25299.377,94874.0,135.08012082027363,14.745885924206439,-0.03650053634684274,5.325975907101906,45762780.0,3064500,0,0,0,0,1,300000,0,16130059.0,4812.4
สำนักงานทางหลวงที่ 3 (สกลนคร),ขท.มุกดาหาร,639,744.575,2222626584,258602020,2.7183333333333333,352.839,2,6,3.75,3.55,5.0,5.21,4.0,4.0,4.0,3.6043333333333334,5.516666666666667,0.0,30000.0,100899.76999999997,11507.2,151166.71,104355.171,174.62141802867788,386.3301777649907,0.017410826789916813,11.42486159015595,44674500.0,3585500,0,0,1,300000,2,600000,0,17347616.38,9799.0
สำนักงานทางหลวงที่ 3 (สกลนคร),ขท.สกลนครที่ 1,641,753.799,4448240609,295439718,2.298058823529412,578.17,1,8,3.176470588235294,3.669,5.0,39.282000000000004,2.0,6.0,4.625,3.5,4.36875,7.4,0.0,144560.317,18959.299999999996,119388.185,123139.0,206.7228321099473,810.0577660528174,1.12009835691086,35.607026617773684,45227940.0,4600400,0,0,0,0,0,0,2,61274963.37,5111.0
สำนักงานทางหลวงที่ 3 (สกลนคร),ขท.สกลนครที่ 2 (สว่างแดนดิน),642,660.036,1761068728,556548200,2.2333333333333334,345.814,2,10,3.2222222222222223,3.5,5.0,7.933,4.0,6.0,5.0,3.5,5.0,0.0,0.0,139327.28,41495.91,163119.001,105389.0,170.17168605389145,80.74067839218927,-0.04457701568732992,7.317768998701134,39602160.0,2672900,2,600000,2,600000,1,300000,2,24252916.21,5579.0
สำนักงานทางหลวงที่ 3 (สกลนคร),ขท.บึงกาฬ,643,649.12,4921738526,82925588,2.3902727272727273,512.0450000000001,2,8,2.8181818181818183,3.5,3.666,7.09,4.0,6.0,4.666666666666667,,,23800.0,0.0,169098.85,25666.1,105975.74500000001,79809.294,161.1531960535295,39.921398828902284,0.0675646450782538,9.399464234846624,38947200.0,2788800,0,0,0,0,1,300000,4,11182835.0,4746.0
สำนักงานทางหลวงที่ 3 (สกลนคร),ขท.นครพนม,644,838.326,6249320011,450139675,2.1638,311.261,2,10,3.5,3.5,5.0,13.483,4.0,6.0,4.6,3.35,4.2,0.0,0.0,96220.932,8319.3,70797.935,153609.0,154.5481464191441,57.3864484070325,0.07238044416590118,7.380502175660578,50299560.0,4010800,0,0,0,0,2,600000,4,15897455.4,5868.0
สำนักงานทางหลวงที่ 3 (สกลนคร),ขท.หนองคาย,646,678.7,1698831960,883420751,2.4670625,572.719,2,8,3.625,4.529,5.078,19.275,2.0,8.0,4.888888888888889,3.5,5.0,61829.0,0.0,96605.47125,17547.2,112923.00600000004,190960.0,172.35405741450256,33.8086795446208,-0.0006426171055358908,13.002596098813573,40722000.0,3594600,1,300000,0,0,0,0,2,9945873.0,3575.9
สำนักงานทางหลวงที่ 8 (มหาสารคาม),ขท.กาฬสินธุ์,647,945.158,2623101690,157654142,2.3661363636363637,700.188,2,8,3.6363636363636362,3.5,8.0,6.727,4.0,6.0,5.166666666666667,3.5,5.0,0.0,0.0,173977.03660000002,158165.5,98765.20800000001,12550.0,175.12181307441688,77.16600428736407,0.06711175010861545,10.700707442162159,56709480.0,4089200,0,0,0,0,0,0,0,5580390.43,10544.0
